"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","5553230","True"
"SampleNumber","Reset","MISO","SCK","MOSI","SPI Example","MISO","SCK","MOSI","MOSI","SCK"
"7386682","1","0","0","0","","0","0","","0","0"
"7399863","1","0","1","0","","0","1","","0","1"
"7413112","1","0","0","0","","0","0","","0","0"
"7426293","1","0","1","0","","0","1","","0","1"
"7439542","1","0","0","0","","0","0","","0","0"
"7453581","1","0","1","0","","0","1","","0","1"
"7466831","1","0","0","0","20h","0","0","00h","0","0"
"7480011","1","0","1","0","","0","1","","0","1"
"7493260","1","0","0","0","","0","0","","0","0"
"7506441","1","0","1","0","","0","1","","0","1"
"7506444","1","1","1","1","","1","1","","1","1"
"7506445","1","1","1","0","","1","1","","0","1"
"7519724","1","1","0","0","","1","0","","0","0"
"7532904","1","1","1","0","","1","1","","0","1"
"7532908","1","0","1","0","","0","1","","0","1"
"7546154","1","0","0","0","","0","0","","0","0"
"7559334","1","0","1","0","","0","1","","0","1"
"7572584","1","0","0","0","","0","0","","0","0"
"7585764","1","0","1","0","","0","1","","0","1"
"7599014","1","0","0","0","","0","0","","0","0"
"7612194","1","0","1","0","","0","1","","0","1"
"7625444","1","0","0","0","","0","0","","0","0"
"7638624","1","0","1","0","","0","1","","0","1"
"7651874","1","0","0","0","","0","0","","0","0"
"7665912","1","0","1","0","","0","1","","0","1"
"7679162","1","0","0","0","00h","0","0","00h","0","0"
"7692342","1","0","1","0","","0","1","","0","1"
"7705592","1","0","0","0","","0","0","","0","0"
"7718772","1","0","1","0","","0","1","","0","1"
"7732022","1","0","0","0","","0","0","","0","0"
"7745202","1","0","1","0","","0","1","","0","1"
"7758452","1","0","0","0","","0","0","","0","0"
"7771632","1","0","1","0","","0","1","","0","1"
"7784882","1","0","0","0","","0","0","","0","0"
"7798062","1","0","1","0","","0","1","","0","1"
"7811312","1","0","0","0","","0","0","","0","0"
"7824492","1","0","1","0","","0","1","","0","1"
"7837742","1","0","0","0","","0","0","","0","0"
"7850922","1","0","1","0","","0","1","","0","1"
"7864172","1","0","0","0","","0","0","","0","0"
"7878211","1","0","1","0","","0","1","","0","1"
"7878214","1","1","1","0","","1","1","","0","1"
"7891493","1","1","0","0","FFh","1","0","00h","0","0"
"7904674","1","1","1","0","","1","1","","0","1"
"7917957","1","1","0","0","","1","0","","0","0"
"7931137","1","1","1","0","","1","1","","0","1"
"7944420","1","1","0","0","","1","0","","0","0"
"7957600","1","1","1","0","","1","1","","0","1"
"7970883","1","1","0","0","","1","0","","0","0"
"7984064","1","1","1","0","","1","1","","0","1"
"7997347","1","1","0","0","","1","0","","0","0"
"8010527","1","1","1","0","","1","1","","0","1"
"8023810","1","1","0","0","","1","0","","0","0"
"8036990","1","1","1","0","","1","1","","0","1"
"8050273","1","1","0","0","","1","0","","0","0"
"8063454","1","1","1","0","","1","1","","0","1"
"8076737","1","1","0","0","","1","0","","0","0"
"8091659","1","1","1","0","","1","1","","0","1"
"8091662","1","0","1","0","","0","1","","0","1"
"8104908","1","0","0","0","00h","0","0","40h","0","0"
"8118089","1","0","1","0","","0","1","","0","1"
"8118222","1","0","1","1","","0","1","","1","1"
"8131404","1","0","0","1","","0","0","","1","0"
"8144436","1","0","0","0","","0","0","","0","0"
"8144585","1","0","1","0","","0","1","","0","1"
"8157835","1","0","0","0","","0","0","","0","0"
"8171015","1","0","1","0","","0","1","","0","1"
"8184265","1","0","0","0","","0","0","","0","0"
"8197445","1","0","1","0","","0","1","","0","1"
"8210695","1","0","0","0","","0","0","","0","0"
"8223875","1","0","1","0","","0","1","","0","1"
"8237125","1","0","0","0","","0","0","","0","0"
"8250305","1","0","1","0","","0","1","","0","1"
"8263555","1","0","0","0","","0","0","","0","0"
"8276735","1","0","1","0","","0","1","","0","1"
"8289985","1","0","0","0","","0","0","","0","0"
"8304024","1","0","1","0","","0","1","","0","1"
"8317273","1","0","0","0","40h","0","0","00h","0","0"
"8330453","1","0","1","0","","0","1","","0","1"
"8330456","1","1","1","0","","1","1","","0","1"
"8343736","1","1","0","0","","1","0","","0","0"
"8356917","1","1","1","0","","1","1","","0","1"
"8356920","1","0","1","0","","0","1","","0","1"
"8370166","1","0","0","0","","0","0","","0","0"
"8383347","1","0","1","0","","0","1","","0","1"
"8396596","1","0","0","0","","0","0","","0","0"
"8409777","1","0","1","0","","0","1","","0","1"
"8423026","1","0","0","0","","0","0","","0","0"
"8436207","1","0","1","0","","0","1","","0","1"
"8449456","1","0","0","0","","0","0","","0","0"
"8462637","1","0","1","0","","0","1","","0","1"
"8475886","1","0","0","0","","0","0","","0","0"
"8489067","1","0","1","0","","0","1","","0","1"
"8502316","1","0","0","0","","0","0","","0","0"
"8516355","1","0","1","0","","0","1","","0","1"
"8529604","1","0","0","0","00h","0","0","00h","0","0"
"8542785","1","0","1","0","","0","1","","0","1"
"8556034","1","0","0","0","","0","0","","0","0"
"8569215","1","0","1","0","","0","1","","0","1"
"8582464","1","0","0","0","","0","0","","0","0"
"8595645","1","0","1","0","","0","1","","0","1"
"8608894","1","0","0","0","","0","0","","0","0"
"8622075","1","0","1","0","","0","1","","0","1"
"8635325","1","0","0","0","","0","0","","0","0"
"8648505","1","0","1","0","","0","1","","0","1"
"8661754","1","0","0","0","","0","0","","0","0"
"8674935","1","0","1","0","","0","1","","0","1"
"8688184","1","0","0","0","","0","0","","0","0"
"8701365","1","0","1","0","","0","1","","0","1"
"8714614","1","0","0","0","","0","0","","0","0"
"8728653","1","0","1","0","","0","1","","0","1"
"8728786","1","0","1","1","","0","1","","1","1"
"8741969","1","0","0","1","00h","0","0","B2h","1","0"
"8755001","1","0","0","0","","0","0","","0","0"
"8755150","1","0","1","0","","0","1","","0","1"
"8768399","1","0","0","0","","0","0","","0","0"
"8781580","1","0","1","0","","0","1","","0","1"
"8781713","1","0","1","1","","0","1","","1","1"
"8794896","1","0","0","1","","0","0","","1","0"
"8807927","1","0","0","0","","0","0","","0","0"
"8808076","1","0","1","0","","0","1","","0","1"
"8808210","1","0","1","1","","0","1","","1","1"
"8821393","1","0","0","1","","0","0","","1","0"
"8834424","1","0","0","0","","0","0","","0","0"
"8834573","1","0","1","0","","0","1","","0","1"
"8847823","1","0","0","0","","0","0","","0","0"
"8861003","1","0","1","0","","0","1","","0","1"
"8874252","1","0","0","0","","0","0","","0","0"
"8887433","1","0","1","0","","0","1","","0","1"
"8887566","1","0","1","1","","0","1","","1","1"
"8900749","1","0","0","1","","0","0","","1","0"
"8913781","1","0","0","0","","0","0","","0","0"
